ioc,ioc_type,first_seen,last_seen,risk_score,sources,behaviour_tags,confidence_rating,target_countries,target_regions,target_industries,related_malware,related_threat_actors,is_whitelisted,common_tags
39.152.120.40,IPv4,1737201818,1778477070,89,"['CyberCure', 'Cyble Global Sensor Feed', 'IPsum', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'Sentinel Turris', 'VirusTotal', 'blocklist.de', 'blocklist.net.ua', 'greensnow', 'malwarefilter_botnet', 'masterdeb.de', 'nuug.no', 'stamparm', 'threat_view_ip']","['Blacklist', 'Blocklist', 'BruteForce', 'Bruteforce', 'KnownAttacker', 'Malicious', 'OSINT', 'Password Guessing', 'PasswordGuessing', 'Phishing', 'Smtp', 'Suspicious', 'known attacker']",High,,,,,,False,
92.246.84.133,IPv4,1601164800,1778476953,99,"['Cyble Research Intelligence Labs', 'Cymru', 'Dan.me', 'IPsum', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'VirusTotal', 'blocklist.de', 'dataplane.org', 'greensnow', 'malwarefilter_botnet', 'myip.ms', 'sblam', 'stamparm', 'threat_view_ip']","['Blacklist', 'BlockOrFilterList', 'Blocklist', 'Botnet', 'Malicious', 'Malware', 'OSINT', 'Osint', 'Phishing', 'SourceType', 'Spam', 'Suspicious', 'Tor Anonymity', 'Tor Exit Node']",High,,,,['Tor'],,False,Tor
94.156.152.8,IPv4,1759665631,1778476953,99,"['CyberCure', 'Dan.me', 'IPsum', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'VirusTotal', 'sblam', 'stamparm', 'threat_view_ip']","['Blacklist', 'Blocklist', 'Malicious', 'Malware', 'OSINT', 'Phishing', 'Spam', 'Tor Anonymity', 'Tor Exit Node']",High,,,,['Tor'],,False,Tor
94.142.241.194,IPv4,1601936122,1778476953,99,"['Cymru', 'Dan.me', 'IPsum', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'TRCERT', 'VirusTotal', 'blocklist.de', 'dataplane.org', 'greensnow', 'malwarefilter_botnet', 'myip.ms', 'sblam', 'stamparm']","['Blacklist', 'BlockOrFilterList', 'Blocklist', 'Botnet', 'Malicious', 'OSINT', 'Phishing', 'Spam', 'Suspicious', 'Tor Anonymity', 'Tor Exit Node', 'TorExitNode']",High,,,,['Tor'],,False,Tor
91.212.45.214,IPv4,1768370466,1778476953,99,"['Dan.me', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'VirusTotal', 'threat_view_ip']","['Malicious', 'OSINT', 'Phishing', 'Tor Anonymity', 'Tor Exit Node']",High,,,,['Tor'],,False,Tor
93.95.228.125,IPv4,1705723235,1778476953,100,"['CyberCure', 'Cyble Research Intelligence Labs', 'Dan.me', 'IPsum', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'Talosintelligence', 'blocklist.de', 'dataplane.org', 'malwarefilter_botnet', 'sblam', 'stamparm']","['Blacklist', 'Blocklist', 'BruteForce', 'Bruteforce', 'Malicious', 'OSINT', 'Spam', 'Tor Anonymity', 'Tor Exit Node']",High,['US'],['North America (NA)'],"['BFSI', 'Government & LEA']",['Tor'],,False,Tor
93.113.25.90,IPv4,1767571245,1778476953,99,"['Dan.me', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'VirusTotal', 'threat_view_ip']","['Malicious', 'OSINT', 'Phishing', 'Tor Anonymity', 'Tor Exit Node']",High,,,,['Tor'],,False,Tor
91.92.109.43,IPv4,1601164800,1778476953,100,"['CyberCure', 'Cyble Research Intelligence Labs', 'Cymru', 'Dan.me', 'IPsum', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'Snort', 'Talosintelligence', 'dataplane.org', 'malwarefilter_botnet', 'sblam', 'stamparm']","['Blacklist', 'Blocklist', 'Botnet', 'BruteForce', 'Bruteforce', 'Malicious', 'OSINT', 'Spam', 'Suspicious', 'Tor Anonymity', 'Tor Exit Node']",High,['FR'],['Europe & UK'],,['Tor'],,False,Tor
93.95.227.37,IPv4,1731024049,1778476953,99,"['CyberCure', 'Dan.me', 'IPsum', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'VirusTotal', 'blocklist.de', 'dataplane.org', 'sblam']","['BadIP', 'Blocklist', 'BruteForce', 'Malicious', 'OSINT', 'Phishing', 'Spam', 'Tor Anonymity', 'Tor Exit Node']",High,,,,['Tor'],,False,Tor
95.143.193.125,IPv4,1601164800,1778476953,100,"['CyberCure', 'Cyble Research Intelligence Labs', 'Cymru', 'Dan.me', 'IPsum', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Snort', 'Talosintelligence', 'VirusTotal', 'dataplane.org', 'stamparm', 'threat_view_ip']","['Blocklist', 'Botnet', 'BruteForce', 'Bruteforce', 'Malicious', 'Malware', 'OSINT', 'Phishing', 'Tor Anonymity', 'Tor Exit Node']",High,['US'],['North America (NA)'],['BFSI'],"['Emotet', 'Formbook', 'NanoCore RAT', 'QuasarRAT', 'RedLine', 'Tor']",,False,"QuasarRAT, RedLine, Formbook, Tor, NanoCore RAT, Emotet"
95.135.208.24,IPv4,1769666513,1778476953,99,"['Dan.me', 'Malware Patrol Tor Exit Nodes', 'VirusTotal', 'sblam', 'threat_view_ip']","['Malicious', 'OSINT', 'Phishing', 'Spam', 'Tor Anonymity', 'Tor Exit Node']",High,,,,['Tor'],,False,Tor
98.128.173.33,IPv4,1712160033,1778476953,100,"['CyberCure', 'Cyble Research Intelligence Labs', 'Dan.me', 'IPsum', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'VirusTotal', 'blocklist.de', 'dataplane.org', 'malwarefilter_botnet', 'stamparm']","['Blacklist', 'Blocklist', 'BruteForce', 'Malicious', 'OSINT', 'Phishing', 'Suspicious', 'Tor Anonymity', 'Tor Exit Node']",High,['US'],['North America (NA)'],"['BFSI', 'Government & LEA']",['Tor'],,False,Tor
94.102.51.15,IPv4,1685678626,1778476953,100,"['CyberCure', 'Cyble Research Intelligence Labs', 'Cymru', 'Dan.me', 'IPsum', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'TRCERT', 'VirusTotal', 'blocklist.de', 'dataplane.org', 'emergingthreats.net', 'malwarefilter_botnet', 'stamparm']","['Blacklist', 'BlockOrFilterList', 'Blocklist', 'Botnet', 'BruteForce', 'Malicious', 'Malware', 'OSINT', 'Osint', 'Phishing', 'SourceType', 'Suspected Compromise', 'Suspicious', 'Tor Anonymity', 'Tor Exit Node']",High,"['AU', 'US']","['Australia and New Zealand (ANZ)', 'North America (NA)']","['BFSI', 'Government & LEA']",['Tor'],,False,Tor
37.28.177.141,IPv4,1739556263,1778476899,89,"['CyberCure', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'Sentinel Turris', 'VirusTotal', 'blocklist.de', 'blocklist.net.ua', 'greensnow', 'malwarefilter_botnet', 'masterdeb.de', 'nuug.no', 'stamparm', 'threat_view_ip']","['Blacklist', 'Blocklist', 'BruteForce', 'Bruteforce', 'Malicious', 'OSINT', 'Password Guessing', 'PasswordGuessing', 'Phishing', 'Smtp', 'Suspicious']",High,,,,,,False,
